"id","title","status","media_type","duration","publish_date","tags","custom_parameters","created_at","updated_at"
"jFk0k5kU","Steven Furtick - He Was The One (Part 2)","ready","video",1649.9420166015625,"2024-04-05 19:00:00.000","[""steven furtick"",""Faith"",""Trust God"",""Purpose"",""Relationships"",""Relationship with God"",""Faithfulness"",""Religion"",""Judgement"",""Thankfulness"",""Episode"",""inActive"",""seriesId_mT4Z2qko"",""2 Kings 14:22""]","{""rating"":""TV-G"",""language"":""English"",""networks"":""TBN"",""TBNmediaId"":""HD-SF241406"",""programName"":""Steven Furtick"",""publishDate"":""April 04, 2024"",""seasonNumber"":""24"",""episodeNumber"":""101"",""seasonEpisode"":""S24:E101"",""biblicalPeople"":""David"",""watchButtonLabel"":""Start Watching""}","2024-04-06 17:07:51.000","2024-04-06 17:47:40.000"
"5onkPZmY","Centerpoint - January 17, 2024","ready","video",32.599998474121094,"2024-01-18 00:30:00.000","[""Movie"",""Morning on Merit Street""]","{""Host"":""Mike Huckabee"",""Genre"":""Religion;Talk Show"",""TBNmediaId"":""HD-MBS10006"",""EpisodeNumber"":""4"",""programe_name"":"""",""transactionId"":""32901945-5372-4466-abeb-6a94a412b79b""}","2024-02-23 09:34:31.000","2024-02-23 09:35:07.000"
"xOr2kDE3","Centerpoint - January 17, 2024","processing","video",32.599998474121094,"2024-01-18 00:30:00.000","[""Movie"",""Morning on Merit Street""]","{""Host"":""Mike Huckabee"",""Genre"":""Religion;Talk Show"",""TBNmediaId"":""HD-MBS10006"",""EpisodeNumber"":""4"",""programe_name"":"""",""transactionId"":""32901945-5372-4466-abeb-6a94a412b79b""}","2024-02-23 09:33:31.000","2024-02-23 09:33:41.000"
"9iTaoXzA","Centerpoint - January 17, 2024","ready","video",32.599998474121094,"2024-01-18 00:30:00.000","[""Movie"",""Morning on Merit Street""]","{""Host"":""Mike Huckabee"",""Genre"":""Religion;Talk Show"",""TBNmediaId"":""HD-MBS10006"",""EpisodeNumber"":""4"",""programe_name"":"""",""transactionId"":""32901945-5372-4466-abeb-6a94a412b79b""}","2024-02-23 09:33:01.000","2024-02-23 09:33:10.000"
"03E05omi","A Mental Battle Part 2","ready","video",1649.030029296875,"2021-04-13 14:30:00.000","[""Church"",""Gospel"",""Christianity"",""Religion"",""Truth"",""Political Correctness"",""Witness/Witnessing"",""Word of God"",""Episode"",""seriesId_hLcMwpxT"",""Allen Jackson Ministries"",""Allen Jackson"",""Courage"",""John 1:1"",""Acts 15:6-20""]","{""hqme"":""true"",""rating"":""TV-G"",""networks"":""TBN"",""revShare"":""false"",""share_url"":""https://share.tbn.org/GHTv/jx9ms3b4"",""TBNmediaId"":""HD-IAJ211503"",""programName"":""Allen Jackson Ministries"",""releaseDate"":""2021-04-07T14:23:00Z"",""seasonNumber"":""21"",""episodeNumber"":""84"",""collectionSortField"":""TBN_OriginalAirDate"",""collectionSortOrder"":""1"",""requiresSubscription"":""true""}","2021-09-20 18:55:43.000","2023-01-04 17:30:01.000"
"F5GluNDa","Centerpoint - January 17, 2024","ready","video",32.599998474121094,"2024-01-18 00:30:00.000","[""Movie"",""Morning on Merit Street""]","{""Host"":""Mike Huckabee"",""Genre"":""Religion;Talk Show"",""TBNmediaId"":""HD-MBS10006"",""EpisodeNumber"":""4"",""programe_name"":"""",""transactionId"":""32901945-5372-4466-abeb-6a94a412b79b""}","2024-02-23 09:32:31.000","2024-02-23 09:32:39.000"
"44czCPU0","Centerpoint - January 17, 2024","ready","video",32.599998474121094,"2024-01-18 00:30:00.000","[""Movie"",""Morning on Merit Street""]","{""Host"":""Mike Huckabee"",""Genre"":""Religion;Talk Show"",""TBNmediaId"":""HD-MBS10006"",""EpisodeNumber"":""4"",""programe_name"":"""",""transactionId"":""32901945-5372-4466-abeb-6a94a412b79b""}","2024-02-23 09:31:01.000","2024-02-23 09:31:12.000"
"3101Ou5C","Centerpoint - January 17, 2024","ready","video",32.599998474121094,"2024-01-18 00:30:00.000","[""Movie"",""Morning on Merit Street""]","{""Host"":""Mike Huckabee"",""Genre"":""Religion;Talk Show"",""TBNmediaId"":""HD-MBS10006"",""EpisodeNumber"":""4"",""programe_name"":"""",""transactionId"":""32901945-5372-4466-abeb-6a94a412b79b""}","2024-02-23 09:30:31.000","2024-02-23 09:30:42.000"
"BDhQkKds","The Beginning of Atonement","ready","video",1649.9849853515625,"2023-07-13 10:30:00.000","[""Salvation"",""Love of God"",""Forgiveness"",""Grace"",""Religion"",""Jesus"",""Law"",""Sin"",""Episode"",""seriesId_rHsI6BKn"",""Robert Morris"",""Pastor Robert Morris Ministries"",""Mercy"",""Blood of Jesus"",""Atonement"","" 21"",""Genesis 6:14"",""Leviticus 16:21-22"",""Psalm 103:12"",""Romans 3:25"",""James 1:20"",""Psalm 7:11"","" 3:7""]","{""hqme"":""true"",""rating"":""TV-G"",""language"":""English"",""networks"":""TBN"",""revShare"":""false"",""TBNmediaId"":""HD-PRMM232804"",""programName"":""Pastor Robert Morris Ministries"",""publishDate"":""July 07, 2023"",""releaseDate"":""January 01, 1900"",""releaseYear"":""1900"",""seasonNumber"":""23"",""episodeNumber"":""167"",""seasonEpisode"":""S23:E167"",""watchButtonLabel"":""Start Watching"",""collectionSortField"":""TBN_OriginalAirDate"",""collectionSortOrder"":""1"",""requiresSubscription"":""true""}","2022-12-05 20:45:01.000","2023-11-12 04:02:09.000"
"MoKGbVmS","IDF Forces Taking Control in Gaza: July 1, 2024 | Boots on the Ground","ready","video",934.5280151367188,"2024-07-01 21:10:00.000","[""Episode"",""seriesId_qnXBrCnp"",""TBN Israel""]","{""hqme"":""true"",""rating"":""TV-G"",""networks"":""TBN"",""revShare"":""false"",""TBNmediaId"":"""",""contentType"":""episode"",""programName"":""TBN Israel"",""seasonNumber"":"""",""episodeNumber"":"""",""seasonEpisode"":"""",""transactionId"":""c5291de9-cb75-49fe-ad7d-0593e7b02e63"",""preview_playback"":""https://cdn.jwplayer.com/manifests/MoKGbVmS.m3u8"",""watchButtonLabel"":""Watch Now"",""requiresSubscription"":""true""}","2024-07-02 21:20:44.107","2024-09-18 20:34:51.000"
